,x_m,y_m,w_left,w_right
45,443.19202877133483,749.6092997667761,2.0,2.0
46,443.78380609165436,748.9188928930699,2.0,2.0
47,444.3755834119739,748.2284860193638,2.0,2.0
48,444.9673607322934,747.5380791456577,2.0,2.0
49,445.559138052613,746.8476722719515,2.0,2.0
50,446.2098121737199,746.0885524639934,2.0,2.0
51,446.86048629482684,745.3294326560354,2.0,2.0
52,447.5111604159338,744.5703128480773,2.0,2.0
53,448.1618345370407,743.8111930401192,2.0,2.0
54,448.81250865814764,743.0520732321611,2.0,2.0
55,449.46318277925457,742.292953424203,2.0,2.0
56,450.1138569003615,741.5338336162449,2.0,2.0
57,450.76453102146843,740.7747138082868,2.0,2.0
58,451.41520514257536,740.0155940003287,2.0,2.0
59,452.0658792636823,739.2564741923707,2.0,2.0
60,452.7164493133216,738.4974758011248,2.0,2.0
61,453.36701936296095,737.7384774098789,2.0,2.0
62,454.0175894126003,736.979479018633,2.0,2.0
63,454.6681594622396,736.2204806273871,2.0,2.0
64,455.3187295118789,735.4614822361413,2.0,2.0
65,455.96929956151826,734.7024838448954,2.0,2.0
66,456.6198696111576,733.9434854536494,2.0,2.0
67,457.2704396607969,733.1844870624036,2.0,2.0
68,457.92100971043624,732.4254886711577,2.0,2.0
69,458.57157976007556,731.6664902799118,2.0,2.0
70,459.1636420838675,730.9757509021547,2.0,2.0
71,459.7557044076593,730.2850115243973,2.0,2.0
72,460.3477667314513,729.5942721466402,2.0,2.0
73,460.9398290552432,728.903532768883,2.0,2.0
74,461.5318913790351,728.2127933911258,2.0,2.0
75,462.12395370282695,727.5220540133685,2.0,2.0
76,462.7160160266189,726.8313146356113,2.0,2.0
77,463.3080783504108,726.1405752578542,2.0,2.0
78,463.90014067420265,725.4498358800969,2.0,2.0
79,464.4922029979946,724.7590965023397,2.0,2.0
80,465.08426532178646,724.0683571245825,2.0,2.0
81,465.67589702164736,723.3781201414114,2.0,2.0
82,466.26752872150826,722.6878831582403,2.0,2.0
83,466.8591604213692,721.9976461750692,2.0,2.0
84,467.45079212123017,721.3074091918982,2.0,2.0
85,468.042423821091,720.6171722087272,2.0,2.0
86,468.63405552095196,719.926935225556,2.0,2.0
87,469.2256872208129,719.236698242385,2.0,2.0
88,469.81731892067376,718.546461259214,2.0,2.0
89,470.4089506205347,717.8562242760429,2.0,2.0
90,471.0005823203956,717.1659872928718,2.0,2.0
91,471.5922140202565,716.4757503097007,2.0,2.0
92,472.24232172107804,715.717291325409,2.0,2.0
93,472.8924294218996,714.9588323411172,2.0,2.0
94,473.5425371227211,714.2003733568254,2.0,2.0
95,474.19264482354265,713.4419143725336,2.0,2.0
96,474.8427525243642,712.6834553882418,2.0,2.0
